# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1404.44918 0.002350 -0.002221 0.003469 -0.002872 0.008993 -0.000100 0.999955 0.0029558980 -0.0000001034 0.0000179815 0.0029561885 0.0000057453 0.0019565779 0.1150028913 0.0000000029 -0.0000312514 0.1150028938 0.0000272093 0.0029189059
1404.48231 0.002507 -0.002147 0.003787 -0.002587 0.008821 -0.000196 0.999958 0.0030496796 -0.0000000914 0.0000176365 0.0030499640 0.0000051773 0.0020503286 0.1272507487 0.0000000026 -0.0000352303 0.1272507519 0.0000270461 0.0031071505
1404.51548 0.002750 -0.001962 0.004116 -0.002422 0.008842 0.000334 0.999958 0.0031457709 -0.0000000856 0.0000176814 0.0031460603 0.0000048368 0.0021464197 0.1405461422 0.0000000017 -0.0000410493 0.1405461471 0.0000247825 0.0033046498
1404.54866 0.003238 -0.002016 0.004582 -0.002398 0.008263 0.000970 0.999963 0.0032441081 -0.0000000791 0.0000165286 0.0032443586 0.0000047785 0.0022446774 0.1549454494 0.0000000020 -0.0000520253 0.1549454584 0.0000266801 0.0035114931
1404.58183 0.003512 -0.002176 0.004979 -0.002235 0.008114 0.000297 0.999965 0.0033446137 -0.0000000726 0.0000162263 0.0033448573 0.0000044648 0.0023451605 0.1705098165 0.0000000028 -0.0000596437 0.1705098274 0.0000308574 0.0037279863
1404.61500 0.003425 -0.002450 0.005357 -0.002012 0.008304 -0.000115 0.999963 0.0034472971 -0.0000000670 0.0000166050 0.0034475569 0.0000040250 0.0024478651 0.1873142602 0.0000000042 -0.0000600935 0.1873142682 0.0000378064 0.0039544642
1404.64826 0.003968 -0.003027 0.006600 -0.001509 0.005911 -0.000560 0.999981 0.0035525952 -0.0000000360 0.0000118197 0.0035527263 0.0000030238 0.0025528840 0.2055227474 0.0000000089 -0.0000748153 0.2055227593 0.0000523190 0.0041918975
1404.68139 0.004458 -0.003976 0.007901 -0.001743 0.004498 -0.001777 0.999987 0.0036596334 -0.0000000323 0.0000089898 0.0036597049 0.0000035026 0.0026598077 0.2250692980 0.0000000175 -0.0000894961 0.2250693098 0.0000772526 0.0044391595
1404.71452 0.004759 -0.004987 0.010007 -0.003088 0.004261 -0.002336 0.999983 0.0037687849 -0.0000000535 0.0000085069 0.0037688255 0.0000061979 0.0027689694 0.2461338296 0.0000000272 -0.0001005121 0.2461338346 0.0001061418 0.0046973673
1404.74881 -0.118034 0.053899 0.023160 -0.010531 -0.000507 -0.001117 0.999944 0.0006254418 0.0002721021 -0.0000054885 0.0009803354 -0.0000101631 0.0028802050 0.0412428496 -0.0171774830 -0.0047975128 0.0166107078 0.0018530850 0.0037616739
1404.78149 -0.117090 0.044716 0.028625 -0.013800 0.004663 0.001423 0.999893 0.0005145986 -0.0000121209 -0.0000019212 0.0003477115 -0.0000746856 0.0029893721 0.0061155953 -0.0003813217 0.0006651623 0.0071985986 0.0005661151 0.0008164881
1404.81462 -0.122975 0.046647 0.036600 -0.017093 0.007816 0.003054 0.999819 0.0005501587 -0.0000124692 -0.0000297119 0.0003729908 -0.0000924591 0.0031018024 0.0060140992 -0.0004026708 0.0006881630 0.0070301307 0.0005470190 0.0008321344
1404.85551 -0.056503 0.159057 0.076745 -0.000835 0.001547 -0.021359 0.999770 0.0003279274 0.0000777681 0.0001651041 0.0002538663 -0.0000920474 0.0028084021 0.0037322014 -0.0013807915 0.0000366686 0.0044629137 0.0000968012 0.0006258920
1404.89170 -0.060760 0.141945 0.087877 -0.004647 0.002319 -0.038330 0.999252 0.0000773180 -0.0000264775 -0.0000265569 0.0000859676 -0.0000215415 0.0012665992 0.0012107682 0.0003514276 0.0000510164 0.0012935127 -0.0000567617 0.0004652295
1404.92454 -0.067635 0.137584 0.110650 -0.006268 0.004863 -0.044176 0.998992 0.0000830524 -0.0000292621 -0.0000353832 0.0000878206 -0.0000317578 0.0013129023 0.0011518771 0.0003428788 0.0000430798 0.0012537566 -0.0000547017 0.0004586869
1404.95772 -0.072469 0.149808 0.130460 -0.004609 0.007876 -0.047657 0.998822 0.0000780066 -0.0000269674 -0.0000510980 0.0000882736 -0.0000327896 0.0013542868 0.0010653459 0.0002915929 0.0000343982 0.0011418129 -0.0000459535 0.0004490749
1404.99092 -0.082983 0.144347 0.153481 -0.004899 0.012671 -0.046992 0.998803 0.0000817873 -0.0000288811 -0.0000537073 0.0000922314 -0.0000237695 0.0012975121 0.0010202817 0.0002774840 0.0000334587 0.0010836608 -0.0000446654 0.0004429365
1405.02403 -0.109696 0.135005 0.176932 -0.005981 0.022878 -0.049573 0.998491 0.0000723684 -0.0000262006 -0.0000734209 0.0000818911 -0.0000340642 0.0013282979 0.0008526844 0.0002324815 0.0000142205 0.0009523799 -0.0000143247 0.0004232690
1405.05735 -0.149221 0.096686 0.198599 -0.007503 0.036024 -0.011037 0.999262 0.0000670888 -0.0000200914 -0.0000038268 0.0000751248 -0.0000755351 0.0005160987 0.0007330475 0.0001231714 0.0000047373 0.0007644057 -0.0000207682 0.0004158781
1405.09067 -0.168081 0.092297 0.219442 -0.004851 0.046069 -0.009174 0.998884 0.0000338773 0.0000080959 -0.0000464615 0.0000401483 -0.0000231225 0.0003827041 0.0004931353 -0.0000114215 -0.0000117775 0.0005817659 -0.0000041147 0.0003983368
1405.12385 -0.181536 0.092659 0.241970 -0.000027 0.055156 -0.009749 0.998430 0.0000368150 0.0000080072 -0.0000543579 0.0000405510 -0.0000196773 0.0003904435 0.0004751161 -0.0000048776 -0.0000108769 0.0005779216 -0.0000040170 0.0003869987
1405.15656 -0.202335 0.066532 0.260834 0.001865 0.066191 0.018737 0.997629 0.0000267496 0.0000022668 -0.0000041521 0.0000339732 -0.0000054613 0.0000669889 0.0004410658 -0.0000051280 -0.0000203958 0.0004806924 -0.0000137996 0.0003621301
1405.18866 -0.221848 0.059564 0.283126 0.004584 0.077826 0.028562 0.996547 0.0000215733 -0.0000000714 0.0000044070 0.0000282496 -0.0000047551 0.0000242404 0.0004110089 0.0000015671 -0.0000221909 0.0004519845 -0.0000169424 0.0003472904
1405.22141 -0.241105 0.057915 0.306407 0.008927 0.090522 0.029767 0.995409 0.0000181230 -0.0000003046 0.0000022611 0.0000246364 -0.0000037881 0.0000223832 0.0003811287 0.0000088107 -0.0000325519 0.0004344257 -0.0000217770 0.0003112124
1405.25488 -0.256061 0.055194 0.332939 0.011586 0.104135 0.030711 0.994021 0.0000180544 -0.0000003055 0.0000026860 0.0000248145 -0.0000039301 0.0000216101 0.0003741915 0.0000094865 -0.0000289849 0.0004317094 -0.0000194049 0.0002989523
1405.28799 -0.269878 0.051031 0.357593 0.013413 0.117443 0.032073 0.992471 0.0000180246 -0.0000000548 0.0000023779 0.0000253850 -0.0000039260 0.0000221454 0.0003683638 0.0000103595 -0.0000248700 0.0004296697 -0.0000155806 0.0002912536
1405.32112 -0.285289 0.046012 0.376530 0.015890 0.128552 0.032462 0.991044 0.0000172930 0.0000001375 0.0000027237 0.0000255220 -0.0000040248 0.0000225955 0.0003627670 0.0000112564 -0.0000224217 0.0004259662 -0.0000128523 0.0002727496
1405.35450 -0.306341 0.043912 0.401206 0.017515 0.142145 0.032117 0.989170 0.0000170890 -0.0000001537 0.0000024798 0.0000233472 -0.0000031783 0.0000225411 0.0003561267 0.0000131342 -0.0000184954 0.0004249351 -0.0000110667 0.0002590122
1405.38696 -0.322758 0.038759 0.424198 0.016901 0.151873 0.032733 0.987713 0.0000157979 -0.0000006840 0.0000017752 0.0000231637 -0.0000033235 0.0000228419 0.0003525131 0.0000154804 -0.0000156573 0.0004238928 -0.0000067867 0.0002431302
1405.41839 -0.343810 0.030803 0.460494 0.012047 0.162987 0.031661 0.986047 0.0000142360 -0.0000009642 0.0000002877 0.0000173101 -0.0000012059 0.0000202494 0.0003481835 0.0000174436 -0.0000092026 0.0004234965 -0.0000038582 0.0002044340
1405.45138 -0.358445 0.035536 0.513617 0.007013 0.171280 0.029138 0.984766 0.0000125297 -0.0000006092 -0.0000006872 0.0000135283 -0.0000000632 0.0000184666 0.0003457536 0.0000187520 -0.0000009712 0.0004219338 -0.0000043499 0.0001381052
1405.48391 -0.371739 0.033037 0.526475 0.006559 0.179104 0.029284 0.983372 0.0000115735 -0.0000002037 -0.0000002107 0.0000105735 0.0000002679 0.0000155476 0.0003311835 0.0000180102 0.0000032976 0.0004143300 -0.0000013997 0.0000966386
1405.51638 -0.395602 0.045150 0.534261 0.006707 0.186034 0.030585 0.982044 0.0000111538 -0.0000001729 0.0000001082 0.0000099275 0.0000001405 0.0000148537 0.0003275036 0.0000175491 0.0000044885 0.0004084143 0.0000004661 0.0000871774
1405.54908 -0.420143 0.051026 0.543908 0.007055 0.194023 0.031701 0.980459 0.0000109921 -0.0000001696 0.0000001816 0.0000095507 0.0000001449 0.0000149650 0.0003256342 0.0000176315 0.0000060668 0.0004043320 0.0000010433 0.0000835480
1405.58123 -0.460637 0.045258 0.564435 0.009221 0.200442 0.030582 0.979185 0.0000105257 -0.0000002194 0.0000005370 0.0000089405 0.0000002338 0.0000143374 0.0003198049 0.0000162328 0.0000083258 0.0003878774 0.0000021894 0.0000803730
1405.61444 -0.480076 0.048123 0.577812 0.009435 0.207917 0.031714 0.977587 0.0000105382 -0.0000002083 0.0000005175 0.0000089494 0.0000002519 0.0000146299 0.0003194956 0.0000153140 0.0000102034 0.0003893347 0.0000022679 0.0000802524
1405.64690 -0.534266 0.067696 0.600577 0.010805 0.212810 0.029943 0.976575 0.0000102498 -0.0000003432 0.0000007639 0.0000081058 0.0000003815 0.0000129946 0.0003039416 0.0000171542 0.0000137699 0.0003680992 0.0000018792 0.0000773993
1405.67993 -0.561921 0.083364 0.615284 0.011181 0.218971 0.031337 0.975164 0.0000102397 -0.0000003385 0.0000007161 0.0000079744 0.0000002788 0.0000128463 0.0003002312 0.0000199111 0.0000168932 0.0003623920 0.0000004353 0.0000774932
1405.71325 -0.583244 0.097808 0.626636 0.012589 0.225157 0.033845 0.973653 0.0000102350 -0.0000003523 0.0000006871 0.0000078043 0.0000002747 0.0000128530 0.0002979222 0.0000215145 0.0000185698 0.0003573916 -0.0000005593 0.0000773895
1405.74651 -0.599532 0.105061 0.633754 0.015621 0.231046 0.036669 0.972126 0.0000102584 -0.0000003646 0.0000006504 0.0000077860 0.0000002942 0.0000130164 0.0002973408 0.0000212612 0.0000196656 0.0003565701 -0.0000007923 0.0000778580
1405.78089 -0.643587 0.132597 0.642919 0.021222 0.237494 0.036337 0.970477 0.0000099359 -0.0000005904 0.0000009589 0.0000067066 0.0000004169 0.0000120008 0.0002738014 0.0000195651 0.0000211062 0.0003225203 -0.0000003965 0.0000770745
1405.81415 -0.655808 0.146973 0.646609 0.028302 0.244282 0.039059 0.968504 0.0000099431 -0.0000005927 0.0000009412 0.0000066855 0.0000005038 0.0000122069 0.0002739713 0.0000206038 0.0000219324 0.0003231637 -0.0000011340 0.0000783452
1405.84747 -0.665957 0.166944 0.649690 0.035739 0.250782 0.041107 0.966510 0.0000099308 -0.0000006328 0.0000009209 0.0000065533 0.0000005863 0.0000123748 0.0002729170 0.0000211820 0.0000218074 0.0003194236 -0.0000017710 0.0000785217
1405.88050 -0.672038 0.195810 0.652123 0.043016 0.255677 0.042737 0.964859 0.0000099087 -0.0000007040 0.0000009243 0.0000062947 0.0000006390 0.0000124498 0.0002703669 0.0000226794 0.0000211472 0.0003150836 -0.0000024625 0.0000784563
1405.91366 -0.669960 0.217723 0.654207 0.052079 0.257959 0.043797 0.963756 0.0000098652 -0.0000007696 0.0000009600 0.0000060935 0.0000007398 0.0000125275 0.0002689644 0.0000232571 0.0000202564 0.0003117330 -0.0000031707 0.0000783435
1405.94663 -0.660888 0.245997 0.656661 0.062476 0.257626 0.042076 0.963304 0.0000097622 -0.0000009227 0.0000010158 0.0000057611 0.0000008356 0.0000124256 0.0002633043 0.0000253530 0.0000186720 0.0003047669 -0.0000029870 0.0000777570
1405.97969 -0.651240 0.261616 0.656914 0.072478 0.254464 0.040309 0.963520 0.0000096628 -0.0000009688 0.0000011129 0.0000056173 0.0000009030 0.0000123247 0.0002610519 0.0000271589 0.0000177842 0.0002994313 -0.0000031767 0.0000773677
1406.01307 -0.637219 0.270495 0.656527 0.080900 0.248931 0.038880 0.964353 0.0000093467 -0.0000008383 0.0000014972 0.0000050468 0.0000005425 0.0000112262 0.0002322280 0.0000273129 0.0000170716 0.0002812942 -0.0000037879 0.0000758238
1406.04640 -0.625731 0.271585 0.651583 0.087603 0.240310 0.038127 0.965983 0.0000092942 -0.0000007516 0.0000016444 0.0000049397 0.0000005146 0.0000109623 0.0002283425 0.0000251554 0.0000168229 0.0002768588 -0.0000042552 0.0000751358
1406.07964 -0.615205 0.277172 0.649381 0.092388 0.229626 0.039245 0.968089 0.0000093915 -0.0000007400 0.0000016582 0.0000049790 0.0000005785 0.0000109898 0.0002290893 0.0000247211 0.0000165265 0.0002760688 -0.0000040095 0.0000752420
1406.11282 -0.604300 0.274670 0.648615 0.096830 0.217767 0.040607 0.970336 0.0000094330 -0.0000007558 0.0000015983 0.0000048829 0.0000004733 0.0000107229 0.0002263429 0.0000238740 0.0000159714 0.0002713459 -0.0000032771 0.0000751875
1406.14605 -0.591310 0.277307 0.647767 0.101412 0.205732 0.040723 0.972487 0.0000095304 -0.0000007461 0.0000016118 0.0000048919 0.0000004316 0.0000105170 0.0002270147 0.0000240988 0.0000158882 0.0002697200 -0.0000031163 0.0000753557
1406.17913 -0.591877 0.243458 0.645773 0.108607 0.192501 0.041025 0.974405 0.0000092793 -0.0000007713 0.0000015734 0.0000044965 0.0000000326 0.0000089726 0.0002093131 0.0000209610 0.0000156717 0.0002398641 -0.0000034882 0.0000734768
1406.21234 -0.580857 0.241983 0.645872 0.114186 0.180079 0.039644 0.976197 0.0000093201 -0.0000008174 0.0000015007 0.0000044518 0.0000000376 0.0000089617 0.0002084199 0.0000203707 0.0000152442 0.0002384348 -0.0000024786 0.0000734926
1406.24563 -0.574654 0.239243 0.647867 0.119726 0.168631 0.037038 0.977680 0.0000092780 -0.0000008881 0.0000014350 0.0000043557 0.0000000021 0.0000087962 0.0002053437 0.0000210029 0.0000147167 0.0002328307 -0.0000022396 0.0000731830
1406.27896 -0.561266 0.240224 0.648892 0.124692 0.156468 0.033569 0.979205 0.0000093741 -0.0000008610 0.0000014056 0.0000043698 0.0000000685 0.0000088520 0.0002066054 0.0000211663 0.0000146036 0.0002329649 -0.0000021403 0.0000735178
1406.31222 -0.558326 0.246911 0.649634 0.127574 0.144263 0.028506 0.980867 0.0000090198 -0.0000010004 0.0000013018 0.0000040601 -0.0000000437 0.0000082246 0.0001882582 0.0000235239 0.0000134710 0.0002195418 -0.0000034923 0.0000726328
1406.34541 -0.546848 0.245275 0.651823 0.129472 0.131789 0.023368 0.982508 0.0000090865 -0.0000009573 0.0000012459 0.0000040582 0.0000000175 0.0000081350 0.0001886663 0.0000235830 0.0000133887 0.0002183743 -0.0000037634 0.0000729840
1406.41175 -0.524298 0.246269 0.660449 0.129304 0.105214 0.007855 0.985976 0.0000085863 -0.0000009779 0.0000010573 0.0000038551 0.0000001536 0.0000073540 0.0001694946 0.0000230559 0.0000127307 0.0002062142 -0.0000055209 0.0000722253
1406.44488 -0.512487 0.243635 0.665940 0.128297 0.092553 0.000021 0.987408 0.0000083419 -0.0000009288 0.0000009176 0.0000037568 0.0000002622 0.0000072419 0.0001614442 0.0000212733 0.0000119503 0.0002020399 -0.0000063171 0.0000721097
1406.47800 -0.504990 0.235842 0.671298 0.127444 0.080522 -0.008456 0.988536 0.0000082485 -0.0000008677 0.0000008284 0.0000037015 0.0000003491 0.0000072145 0.0001569814 0.0000198754 0.0000113663 0.0002002179 -0.0000067733 0.0000721498
1406.51122 -0.490202 0.231532 0.677199 0.126626 0.071063 -0.019139 0.989217 0.0000079083 -0.0000008343 0.0000007347 0.0000035618 0.0000005192 0.0000071010 0.0001439663 0.0000175010 0.0000102286 0.0001940806 -0.0000084319 0.0000718060
1406.54439 -0.487240 0.220164 0.680349 0.126601 0.063835 -0.030451 0.989429 0.0000076992 -0.0000007535 0.0000006906 0.0000034864 0.0000006190 0.0000070345 0.0001376956 0.0000168510 0.0000098579 0.0001911944 -0.0000094393 0.0000715002
1406.57749 -0.488011 0.211317 0.680884 0.126690 0.058825 -0.041579 0.989323 0.0000069654 -0.0000007378 0.0000005793 0.0000034076 0.0000006916 0.0000069120 0.0001272790 0.0000168702 0.0000109727 0.0001861970 -0.0000098938 0.0000706881
1406.61065 -0.493447 0.202146 0.681666 0.127319 0.056492 -0.052826 0.988842 0.0000066888 -0.0000006846 0.0000005258 0.0000033641 0.0000007454 0.0000069492 0.0001227016 0.0000173226 0.0000113485 0.0001847089 -0.0000102848 0.0000705098
1406.67710 -0.517282 0.184416 0.680659 0.128906 0.059243 -0.073251 0.987172 0.0000058189 -0.0000007170 0.0000004914 0.0000032490 0.0000008229 0.0000065461 0.0001099188 0.0000183130 0.0000127185 0.0001761493 -0.0000122808 0.0000692597
1406.71019 -0.534082 0.176492 0.678811 0.129847 0.064465 -0.079538 0.986234 0.0000056641 -0.0000006909 0.0000003738 0.0000032191 0.0000008531 0.0000065694 0.0001048372 0.0000183671 0.0000131669 0.0001741847 -0.0000129308 0.0000693985
1406.74349 -0.549431 0.171299 0.676721 0.130533 0.072076 -0.083204 0.985314 0.0000056200 -0.0000006857 0.0000003153 0.0000032217 0.0000008605 0.0000066545 0.0001051448 0.0000177768 0.0000132936 0.0001746708 -0.0000127109 0.0000696713
1406.77667 -0.575855 0.166766 0.677835 0.131394 0.081237 -0.083676 0.984446 0.0000049148 -0.0000007636 0.0000002203 0.0000031591 0.0000007903 0.0000062993 0.0000978425 0.0000191252 0.0000145709 0.0001669498 -0.0000149455 0.0000686397
1406.80996 -0.596882 0.160369 0.675975 0.130149 0.091926 -0.081900 0.983821 0.0000046987 -0.0000008051 0.0000000219 0.0000031398 0.0000007712 0.0000062565 0.0000954352 0.0000184443 0.0000147809 0.0001609356 -0.0000163360 0.0000685970
1406.84330 -0.617685 0.150254 0.674135 0.127382 0.103890 -0.078144 0.983298 0.0000044409 -0.0000008538 -0.0000001573 0.0000031225 0.0000007249 0.0000062400 0.0000942925 0.0000176657 0.0000147812 0.0001560090 -0.0000171180 0.0000685339
1406.87645 -0.637667 0.144110 0.672687 0.122296 0.115673 -0.073800 0.982963 0.0000044283 -0.0000008765 -0.0000002408 0.0000031256 0.0000006761 0.0000063054 0.0000946701 0.0000176298 0.0000148238 0.0001562261 -0.0000170287 0.0000687062
1406.90969 -0.666314 0.135680 0.678400 0.118464 0.125824 -0.068514 0.982568 0.0000040760 -0.0000008954 -0.0000003078 0.0000030782 0.0000004757 0.0000056304 0.0000897601 0.0000168026 0.0000164079 0.0001510147 -0.0000177439 0.0000676354
1406.94291 -0.684858 0.126814 0.679535 0.111803 0.134004 -0.062168 0.982689 0.0000040194 -0.0000009005 -0.0000003627 0.0000030906 0.0000004207 0.0000055865 0.0000894086 0.0000165095 0.0000167483 0.0001506556 -0.0000175574 0.0000678289
1406.97625 -0.705416 0.112857 0.683625 0.103363 0.141039 -0.053776 0.983124 0.0000037909 -0.0000008917 -0.0000004311 0.0000030879 0.0000003074 0.0000052055 0.0000868548 0.0000166428 0.0000176453 0.0001468626 -0.0000174717 0.0000673202
1407.04271 -0.734965 0.086306 0.687655 0.078940 0.153847 -0.037075 0.984238 0.0000037219 -0.0000008734 -0.0000005394 0.0000031245 0.0000001916 0.0000053000 0.0000875613 0.0000167127 0.0000179622 0.0001470091 -0.0000170204 0.0000673074
1407.10894 -0.755817 0.057225 0.694535 0.054981 0.162128 -0.021068 0.985012 0.0000036463 -0.0000008408 -0.0000006219 0.0000031743 0.0000000844 0.0000054510 0.0000882477 0.0000169348 0.0000183027 0.0001473996 -0.0000164940 0.0000670938
1407.14206 -0.763226 0.037057 0.699638 0.044515 0.163562 -0.011661 0.985459 0.0000034958 -0.0000008007 -0.0000006006 0.0000032001 0.0000000319 0.0000054936 0.0000871497 0.0000168367 0.0000188802 0.0001457385 -0.0000160130 0.0000667943
1407.20833 -0.770378 0.008230 0.707452 0.022483 0.165619 0.010379 0.985879 0.0000033888 -0.0000007546 -0.0000006490 0.0000032738 -0.0000000583 0.0000056181 0.0000871301 0.0000166845 0.0000192339 0.0001455176 -0.0000154066 0.0000663708
1407.24149 -0.774328 -0.011030 0.711520 0.011714 0.165180 0.021408 0.985961 0.0000032933 -0.0000007252 -0.0000006520 0.0000032810 -0.0000000627 0.0000055654 0.0000842773 0.0000155250 0.0000194662 0.0001431044 -0.0000151113 0.0000660151
1407.30776 -0.765971 -0.037026 0.718638 -0.005991 0.162156 0.040972 0.985896 0.0000032344 -0.0000006912 -0.0000006932 0.0000033409 -0.0000000968 0.0000056458 0.0000838596 0.0000150409 0.0000195476 0.0001424812 -0.0000147252 0.0000655417
1407.34092 -0.765342 -0.051599 0.723288 -0.012087 0.159278 0.052618 0.985756 0.0000031403 -0.0000006790 -0.0000006244 0.0000032912 -0.0000000619 0.0000053678 0.0000795048 0.0000137649 0.0000191938 0.0001384721 -0.0000142685 0.0000650952
1407.37408 -0.755237 -0.056625 0.727778 -0.018091 0.156493 0.065406 0.985345 0.0000031116 -0.0000006638 -0.0000006435 0.0000033366 -0.0000000657 0.0000054411 0.0000798166 0.0000136142 0.0000192917 0.0001387295 -0.0000141495 0.0000649994
1407.40722 -0.745902 -0.058055 0.731924 -0.025192 0.154892 0.079588 0.984398 0.0000030859 -0.0000006439 -0.0000006688 0.0000033790 -0.0000000939 0.0000055017 0.0000799916 0.0000137476 0.0000192875 0.0001393279 -0.0000140420 0.0000647853
1407.47355 -0.732894 -0.056466 0.739397 -0.040049 0.156260 0.112836 0.980432 0.0000029837 -0.0000005791 -0.0000007518 0.0000033722 -0.0000000903 0.0000053352 0.0000768889 0.0000125814 0.0000189972 0.0001339867 -0.0000130027 0.0000640418
1407.50676 -0.723002 -0.050687 0.742015 -0.044866 0.159653 0.132142 0.977260 0.0000029592 -0.0000005514 -0.0000008007 0.0000034221 -0.0000000911 0.0000053970 0.0000773547 0.0000126268 0.0000190306 0.0001342607 -0.0000128502 0.0000640269
1407.53977 -0.718965 -0.046661 0.746829 -0.046743 0.165972 0.151190 0.973350 0.0000027967 -0.0000004392 -0.0000009021 0.0000032138 -0.0000001107 0.0000051857 0.0000739584 0.0000115829 0.0000184042 0.0001229765 -0.0000097444 0.0000623421
1407.57302 -0.713973 -0.037151 0.747416 -0.046984 0.175939 0.171599 0.968190 0.0000028110 -0.0000004146 -0.0000009739 0.0000032593 -0.0000000861 0.0000052241 0.0000744123 0.0000116195 0.0000184532 0.0001237132 -0.0000097777 0.0000623585
1407.60594 -0.705897 -0.024950 0.750329 -0.048293 0.191709 0.191230 0.961430 0.0000026951 -0.0000003001 -0.0000010714 0.0000030057 0.0000000418 0.0000050545 0.0000729315 0.0000112362 0.0000176848 0.0001188525 -0.0000084229 0.0000610697
1407.63909 -0.705392 -0.013465 0.748508 -0.048203 0.209179 0.209849 0.953879 0.0000027318 -0.0000002606 -0.0000011850 0.0000029580 0.0000000690 0.0000050312 0.0000728958 0.0000112228 0.0000174336 0.0001179666 -0.0000079380 0.0000606075
1407.67224 -0.708737 -0.000590 0.745907 -0.046670 0.228088 0.224582 0.946235 0.0000026520 -0.0000001289 -0.0000012702 0.0000026259 0.0000001415 0.0000048821 0.0000713141 0.0000112716 0.0000165118 0.0001140903 -0.0000066254 0.0000592713
1407.70538 -0.713293 0.011957 0.741097 -0.044884 0.246195 0.236334 0.938893 0.0000025189 0.0000000179 -0.0000012656 0.0000022831 -0.0000000045 0.0000044040 0.0000687307 0.0000116926 0.0000150950 0.0001114963 -0.0000050421 0.0000570249
1407.73856 -0.717491 0.024360 0.735813 -0.042400 0.260953 0.246904 0.932279 0.0000025946 0.0000000108 -0.0000013433 0.0000022593 0.0000000567 0.0000043856 0.0000688726 0.0000116485 0.0000150169 0.0001116186 -0.0000050786 0.0000570838
1407.77180 -0.720288 0.039685 0.730277 -0.038960 0.271076 0.253831 0.927669 0.0000024164 0.0000000987 -0.0000013408 0.0000020088 0.0000000766 0.0000041187 0.0000666760 0.0000114586 0.0000144762 0.0001093659 -0.0000045359 0.0000555681
1407.80494 -0.722705 0.055333 0.724210 -0.035399 0.276697 0.259246 0.924650 0.0000024209 0.0000000887 -0.0000013693 0.0000019759 0.0000001305 0.0000040933 0.0000665096 0.0000111897 0.0000144157 0.0001090012 -0.0000046556 0.0000554295
1407.83823 -0.722783 0.070069 0.718136 -0.033446 0.278756 0.263217 0.922981 0.0000024112 0.0000000828 -0.0000013941 0.0000019329 0.0000001931 0.0000040827 0.0000662473 0.0000108623 0.0000143711 0.0001087602 -0.0000046756 0.0000553601
