# timestamp(s) tx ty tz qx qy qz qw
1540821103.51141 0.040818 -0.044393 0.064979 -0.020971 0.010955 0.007137 0.999695
1540821103.57674 0.028764 -0.019031 0.106201 -0.027351 0.003183 0.001028 0.999620
1540821103.60988 0.033639 -0.000487 0.125944 -0.032658 0.000472 -0.003185 0.999461
1540821103.64318 0.029108 0.003639 0.143698 -0.037434 -0.001213 -0.006322 0.999278
1540821103.67649 0.028228 0.008112 0.161508 -0.041805 -0.000943 -0.010135 0.999074
1540821103.70970 0.030928 0.012061 0.167965 -0.046001 -0.000303 -0.013690 0.998848
1540821103.74277 0.031686 0.010892 0.178223 -0.048415 0.000282 -0.016204 0.998696
1540821103.77563 0.037075 0.015765 0.181480 -0.051193 -0.001418 -0.018059 0.998524
1540821103.80876 0.040911 0.019398 0.193256 -0.054003 -0.003187 -0.019732 0.998341
1540821103.84191 0.044081 0.020186 0.203589 -0.056177 -0.004852 -0.020088 0.998207
1540821103.87491 0.047583 0.019384 0.213744 -0.058632 -0.005663 -0.020745 0.998048
1540821103.90808 0.052757 0.021506 0.221909 -0.061006 -0.005755 -0.020886 0.997902
1540821103.94142 0.059993 0.024635 0.233739 -0.063198 -0.005826 -0.020719 0.997769
1540821104.00819 0.078224 0.031881 0.258684 -0.065699 -0.006891 -0.019556 0.997624
1540821104.04126 0.089589 0.038645 0.269896 -0.066616 -0.008313 -0.018411 0.997574
1540821104.07450 0.099286 0.036886 0.280500 -0.066666 -0.010468 -0.016477 0.997584
1540821104.10787 0.117011 0.054690 0.293673 -0.067494 -0.011902 -0.014833 0.997538
1540821104.14104 0.137309 0.054192 0.311494 -0.066434 -0.013468 -0.011974 0.997628
1540821104.17419 0.154202 0.066087 0.323991 -0.066522 -0.015232 -0.009840 0.997620
1540821104.20721 0.169742 0.068022 0.333553 -0.065898 -0.018636 -0.006413 0.997632
1540821104.24046 0.182909 0.070494 0.341145 -0.065116 -0.021767 -0.001681 0.997639
1540821104.27364 0.197486 0.077372 0.348782 -0.063806 -0.022956 0.001940 0.997696
1540821104.30688 0.207033 0.080594 0.352660 -0.062944 -0.023692 0.006502 0.997715
1540821104.34030 0.210451 0.082668 0.356767 -0.060512 -0.024086 0.011077 0.997815
1540821104.37355 0.214115 0.083555 0.359705 -0.059638 -0.026127 0.016380 0.997744
1540821104.40686 0.212074 0.085482 0.361755 -0.059481 -0.027730 0.020031 0.997643
1540821104.44012 0.210138 0.086071 0.363098 -0.060159 -0.027688 0.021942 0.997563
1540821104.47333 0.207963 0.088525 0.363967 -0.060669 -0.026227 0.022281 0.997565
1540821104.50717 0.184457 0.073504 0.362684 -0.059218 -0.023108 0.021081 0.997755
1540821104.54094 0.162265 0.058341 0.360738 -0.058162 -0.017462 0.018232 0.997988
1540821104.57474 0.141953 0.045762 0.358067 -0.057359 -0.009689 0.014453 0.998202
1540821104.60801 0.129345 0.044849 0.356749 -0.058612 -0.000582 0.009184 0.998238
1540821104.64119 0.098406 0.036700 0.354591 -0.059699 0.007648 0.002826 0.998183
1540821104.67435 0.082950 0.037603 0.354218 -0.061649 0.015754 -0.005138 0.997960
1540821104.70771 0.054869 0.029700 0.352118 -0.062821 0.022161 -0.013345 0.997690
1540821104.74111 0.042431 0.028085 0.352178 -0.064272 0.028344 -0.022274 0.997281
1540821104.80756 0.013360 0.028666 0.352228 -0.065890 0.038579 -0.042080 0.996192
1540821104.84093 0.000893 0.031429 0.352747 -0.065799 0.041672 -0.051477 0.995633
1540821104.87417 -0.003456 0.034604 0.353117 -0.065511 0.043391 -0.059081 0.995156
1540821104.90754 -0.008938 0.038184 0.353806 -0.064924 0.043353 -0.064285 0.994873
1540821104.94061 -0.013263 0.034323 0.353506 -0.064236 0.041664 -0.067898 0.994750
1540821104.97387 -0.005507 0.035632 0.353877 -0.063420 0.038861 -0.069661 0.994794
1540821105.00683 -0.004155 0.033348 0.354365 -0.062430 0.034357 -0.068669 0.995091
1540821105.04006 0.008598 0.031962 0.354324 -0.061800 0.030762 -0.065486 0.995463
1540821105.07310 0.020142 0.029858 0.353824 -0.061251 0.027652 -0.060580 0.995898
1540821105.10620 0.037102 0.026755 0.353628 -0.062065 0.024076 -0.053697 0.996336
1540821105.13917 0.047074 0.018832 0.353520 -0.063764 0.018352 -0.044948 0.996783
1540821105.17228 0.055985 0.011164 0.353035 -0.063096 0.011339 -0.035822 0.997300
1540821105.20521 0.066342 0.009630 0.353391 -0.059625 0.002491 -0.027625 0.997835
1540821105.23827 0.072426 0.004041 0.354830 -0.056715 -0.008999 -0.017348 0.998199
1540821105.27116 0.068268 -0.006119 0.354270 -0.053879 -0.020268 -0.006655 0.998320
1540821105.30425 0.082993 -0.002857 0.354459 -0.053086 -0.025894 0.002694 0.998251
1540821105.33728 0.087613 -0.009853 0.352518 -0.052266 -0.026354 0.011068 0.998224
1540821105.37048 0.095674 -0.007176 0.350374 -0.052320 -0.022406 0.017041 0.998234
1540821105.40366 0.097093 -0.010055 0.347648 -0.053219 -0.017196 0.021060 0.998213
1540821105.43666 0.096655 -0.012775 0.345525 -0.055160 -0.012135 0.022149 0.998158
1540821105.46979 0.096182 -0.015380 0.342910 -0.055981 -0.008998 0.022791 0.998131
1540821105.50300 0.094246 -0.020102 0.340557 -0.055504 -0.007571 0.024413 0.998131
1540821105.53618 0.076804 -0.029518 0.337782 -0.053853 -0.005754 0.027252 0.998160
1540821105.56917 0.059908 -0.033701 0.335066 -0.053341 -0.001093 0.028710 0.998163
1540821105.60253 0.052334 -0.047395 0.333125 -0.053700 0.005246 0.029799 0.998099
1540821105.63574 0.044763 -0.058264 0.331152 -0.054165 0.009890 0.028262 0.998083
1540821105.66924 0.031968 -0.074549 0.330666 -0.053884 0.011882 0.025573 0.998149
1540821105.70241 0.025892 -0.081953 0.330183 -0.051668 0.011540 0.021096 0.998375
1540821105.73591 0.014696 -0.084908 0.331446 -0.049727 0.008443 0.017642 0.998571
1540821105.76928 0.010575 -0.082655 0.330193 -0.049855 0.007887 0.016472 0.998589
1540821105.80243 0.006990 -0.078849 0.328329 -0.051564 0.011684 0.014960 0.998489
1540821105.83560 0.004142 -0.073031 0.326937 -0.052143 0.013434 0.012221 0.998474
1540821105.86883 -0.000221 -0.064709 0.326535 -0.051487 0.010247 0.010012 0.998571
1540821105.90193 -0.002943 -0.054907 0.327273 -0.053099 0.004577 0.006837 0.998555
1540821105.93514 -0.006218 -0.044672 0.328360 -0.055859 -0.001496 0.002132 0.998435
1540821105.96825 -0.013058 -0.032015 0.329591 -0.059640 -0.005624 -0.001815 0.998202
1540821106.00149 -0.019204 -0.021948 0.330117 -0.062471 -0.007578 -0.006780 0.997995
1540821106.03459 -0.023480 -0.011312 0.330477 -0.065712 -0.008712 -0.010275 0.997748
1540821106.06783 -0.027823 -0.001885 0.330431 -0.069532 -0.009975 -0.012872 0.997447
1540821106.10099 -0.031465 0.006496 0.330496 -0.071480 -0.012089 -0.014640 0.997261
1540821106.13408 -0.034478 0.010868 0.330151 -0.072892 -0.013558 -0.017568 0.997093
1540821106.16727 -0.038009 0.010514 0.329361 -0.070381 -0.014865 -0.022718 0.997151
1540821106.20030 -0.039196 0.010386 0.330127 -0.066578 -0.020810 -0.026248 0.997219
1540821106.23347 -0.040673 0.003102 0.330020 -0.064352 -0.026169 -0.028206 0.997185
1540821106.26661 -0.043477 -0.002769 0.329370 -0.062992 -0.026258 -0.029689 0.997227
1540821106.29964 -0.042005 -0.009223 0.328590 -0.060904 -0.022846 -0.029445 0.997448
1540821106.33283 -0.041650 -0.020653 0.328299 -0.058327 -0.018645 -0.026699 0.997766
1540821106.36601 -0.040503 -0.032799 0.328895 -0.057151 -0.015435 -0.022217 0.997999
1540821106.39916 -0.035728 -0.044374 0.331514 -0.059636 -0.012971 -0.018572 0.997963
1540821106.43226 -0.032107 -0.054401 0.334643 -0.062967 -0.013224 -0.014668 0.997820
1540821106.46545 -0.027407 -0.061304 0.338500 -0.066594 -0.014801 -0.010705 0.997613
1540821106.49873 -0.018478 -0.063535 0.343479 -0.069962 -0.017568 -0.004198 0.997386
1540821106.53188 -0.011783 -0.061942 0.347412 -0.073285 -0.018752 0.003311 0.997129
1540821106.56501 -0.007317 -0.058300 0.349393 -0.077072 -0.017003 0.010206 0.996828
1540821106.59817 -0.002345 -0.053334 0.349962 -0.080352 -0.014446 0.015184 0.996546
1540821106.63131 0.005456 -0.047395 0.350724 -0.079658 -0.015780 0.018684 0.996522
1540821106.66454 0.012089 -0.040873 0.351770 -0.074882 -0.020999 0.020845 0.996753
1540821106.69777 0.013869 -0.032079 0.351366 -0.068469 -0.027722 0.021541 0.997035
1540821106.73084 0.013138 -0.025462 0.350871 -0.063284 -0.033335 0.020849 0.997221
1540821106.76400 0.008365 -0.017390 0.348793 -0.059316 -0.035484 0.019238 0.997423
1540821106.79723 0.008397 -0.013879 0.345118 -0.056045 -0.033918 0.014924 0.997740
1540821106.86347 -0.012700 -0.004470 0.337934 -0.049875 -0.027938 0.000097 0.998365
1540821106.92984 -0.040243 -0.004310 0.333600 -0.044964 -0.021159 -0.022594 0.998509
1540821106.96286 -0.051802 -0.004919 0.333379 -0.045133 -0.017870 -0.033788 0.998249
1540821106.99599 -0.064194 -0.008254 0.333501 -0.045970 -0.014400 -0.042373 0.997940
1540821107.02915 -0.074424 -0.013542 0.334448 -0.046079 -0.010111 -0.048312 0.997718
1540821107.06232 -0.082397 -0.020942 0.336145 -0.046214 -0.004961 -0.051831 0.997574
1540821107.12870 -0.087654 -0.035490 0.343006 -0.050111 0.004487 -0.054848 0.997226
1540821107.16186 -0.084756 -0.044617 0.348934 -0.054020 0.004481 -0.053842 0.997077
1540821107.22823 -0.067970 -0.061237 0.363665 -0.063046 -0.004126 -0.045555 0.996962
1540821107.26137 -0.054568 -0.067495 0.371242 -0.068328 -0.008321 -0.038005 0.996904
1540821107.29463 -0.030069 -0.066997 0.377762 -0.073714 -0.011454 -0.028180 0.996815
1540821107.32777 -0.012109 -0.067559 0.383821 -0.079158 -0.014278 -0.015222 0.996644
1540821107.36098 0.006359 -0.065361 0.389032 -0.084907 -0.017227 -0.000540 0.996240
1540821107.39411 0.027333 -0.060540 0.392261 -0.089008 -0.020374 0.015013 0.995709
1540821107.42728 0.044454 -0.053120 0.394053 -0.090009 -0.023989 0.031148 0.995165
1540821107.46047 0.060731 -0.047220 0.394584 -0.087532 -0.028575 0.045868 0.994695
1540821107.49363 0.074533 -0.037027 0.393285 -0.083240 -0.034242 0.059267 0.994176
1540821107.52680 0.083896 -0.024434 0.390169 -0.076817 -0.039454 0.071062 0.993727
1540821107.59315 0.088724 0.001172 0.379055 -0.060188 -0.041504 0.085303 0.993669
1540821107.62634 0.085353 0.012418 0.372315 -0.053950 -0.042055 0.089704 0.993617
1540821107.65956 0.078208 0.022734 0.365181 -0.049500 -0.040992 0.092474 0.993639
1540821107.69274 0.068043 0.029384 0.356714 -0.046360 -0.036197 0.091848 0.994034
1540821107.72589 0.056648 0.032581 0.348120 -0.042621 -0.027806 0.087471 0.994866
1540821107.75907 0.042626 0.033253 0.339811 -0.037817 -0.018339 0.080052 0.995904
1540821107.79235 0.028205 0.031220 0.333715 -0.031553 -0.009992 0.069758 0.997015
1540821107.82550 0.013654 0.027484 0.330624 -0.022650 -0.006655 0.058194 0.998026
1540821107.85859 0.000771 0.022565 0.332013 -0.014768 -0.008898 0.047248 0.998734
1540821107.89185 -0.010739 0.016770 0.337317 -0.012251 -0.013625 0.037384 0.999133
1540821107.92490 -0.019358 0.013362 0.344345 -0.015218 -0.015517 0.028799 0.999349
1540821107.95811 -0.024023 0.012469 0.353002 -0.020480 -0.013685 0.021313 0.999469
1540821107.99128 -0.030391 0.006360 0.365933 -0.025704 -0.010652 0.015848 0.999487
1540821108.02445 -0.035593 0.003498 0.380795 -0.032435 -0.009811 0.012905 0.999342
1540821108.05768 -0.033075 0.002789 0.400550 -0.040346 -0.010867 0.010805 0.999068
1540821108.09080 -0.035701 -0.000390 0.419203 -0.047043 -0.011940 0.011029 0.998761
1540821108.12401 -0.033636 -0.003381 0.439561 -0.054158 -0.011630 0.012228 0.998390
1540821108.15734 -0.033369 -0.005926 0.459265 -0.062458 -0.010419 0.013189 0.997906
1540821108.19034 -0.032264 -0.008429 0.478461 -0.071806 -0.009133 0.014181 0.997276
1540821108.22355 -0.029645 -0.009640 0.496610 -0.081390 -0.008894 0.015163 0.996527
1540821108.25681 -0.026724 -0.011086 0.512270 -0.092248 -0.009687 0.016577 0.995551
1540821108.28988 -0.023910 -0.011825 0.524763 -0.102299 -0.011257 0.018600 0.994516
1540821108.32306 -0.020949 -0.012377 0.532936 -0.110468 -0.012099 0.021260 0.993579
1540821108.35623 -0.017882 -0.012671 0.536720 -0.117583 -0.012629 0.023822 0.992697
1540821108.38941 -0.014824 -0.012955 0.535955 -0.123107 -0.012640 0.025858 0.991976
1540821108.42260 -0.008323 -0.011561 0.530818 -0.125265 -0.011216 0.025448 0.991733
1540821108.45590 -0.005390 -0.011864 0.521141 -0.122644 -0.009334 0.025788 0.992072
1540821108.52216 0.000297 -0.010367 0.492316 -0.108651 -0.006376 0.026451 0.993708
1540821108.55535 0.003118 -0.008999 0.474426 -0.099960 -0.005492 0.026321 0.994628
1540821108.62157 0.005886 -0.007887 0.437020 -0.081210 -0.005632 0.024873 0.996371
1540821108.65478 0.005651 -0.007839 0.417823 -0.072942 -0.004860 0.023485 0.997048
1540821108.68791 0.003165 -0.006637 0.399550 -0.062200 -0.004651 0.022411 0.997801
1540821108.72098 0.002487 -0.003224 0.382535 -0.051429 -0.003858 0.021931 0.998428
1540821108.75413 0.001588 0.001172 0.367635 -0.041376 -0.003432 0.019945 0.998939
1540821108.78730 0.001528 0.004871 0.355025 -0.031742 -0.004315 0.020204 0.999283
1540821108.82055 0.001456 0.008438 0.345040 -0.022015 -0.005567 0.020805 0.999526
1540821108.85365 0.002267 0.014578 0.337360 -0.011497 -0.005476 0.018919 0.999740
1540821108.88691 0.001175 0.018036 0.332996 -0.001935 -0.003141 0.019345 0.999806
1540821108.91997 -0.003014 0.020644 0.332147 0.003046 0.000010 0.018687 0.999821
1540821108.95318 -0.004578 0.020220 0.334969 0.004273 0.002427 0.020048 0.999787
1540821108.98644 -0.005548 0.018511 0.341846 0.002363 0.002051 0.020794 0.999779
1540821109.01958 -0.006426 0.015286 0.351468 -0.001937 0.000522 0.020788 0.999782
1540821109.05278 -0.007921 0.011388 0.364343 -0.007603 -0.001482 0.020486 0.999760
1540821109.11900 -0.010475 0.004007 0.395558 -0.025348 -0.005888 0.020767 0.999446
1540821109.15214 -0.009250 -0.000289 0.410750 -0.036373 -0.006483 0.020560 0.999106
1540821109.18529 -0.008713 -0.004777 0.425994 -0.049573 -0.005240 0.019027 0.998576
1540821109.25158 -0.007631 -0.014357 0.451269 -0.076053 0.001206 0.014646 0.996995
1540821109.31794 -0.004374 -0.020281 0.462695 -0.089986 0.003145 0.010649 0.995881
1540821109.35106 -0.000760 -0.019692 0.461636 -0.090802 0.001973 0.009649 0.995820
1540821109.38422 0.002740 -0.019472 0.455971 -0.087342 0.000506 0.010932 0.996118
1540821109.41747 0.006243 -0.016510 0.446706 -0.079551 -0.000663 0.012654 0.996750
1540821109.45056 0.010180 -0.012822 0.434632 -0.069966 -0.003299 0.015293 0.997427
1540821109.48372 0.015015 -0.009432 0.420307 -0.059635 -0.007492 0.018805 0.998015
1540821109.51688 0.019327 -0.004570 0.404134 -0.048718 -0.010860 0.021162 0.998529
1540821109.55013 0.023014 0.001289 0.386626 -0.035899 -0.011687 0.022866 0.999025
1540821109.58320 0.024026 0.007263 0.369081 -0.022337 -0.010850 0.025302 0.999371
1540821109.61641 0.022926 0.014172 0.351813 -0.008783 -0.008684 0.027400 0.999548
1540821109.64957 0.019962 0.021561 0.336937 0.004261 -0.006696 0.027024 0.999603
1540821109.68273 0.012298 0.027677 0.324244 0.015502 -0.005875 0.024418 0.999564
1540821109.71586 0.004258 0.034604 0.313837 0.025519 -0.004716 0.018198 0.999498
1540821109.74903 -0.006239 0.038621 0.305709 0.034205 -0.002513 0.008753 0.999373
1540821109.78230 -0.019271 0.041005 0.299792 0.041356 0.001551 -0.005040 0.999131
1540821109.81547 -0.032628 0.044689 0.296338 0.045813 0.006459 -0.021022 0.998708
1540821109.84859 -0.045588 0.045610 0.296132 0.047457 0.009627 -0.036070 0.998175
1540821109.88186 -0.060627 0.044296 0.300518 0.046372 0.011534 -0.048828 0.997664
1540821109.91490 -0.076685 0.040959 0.308522 0.041625 0.014113 -0.059334 0.997270
1540821109.94816 -0.088497 0.037624 0.318675 0.033860 0.017384 -0.068219 0.996944
1540821109.98125 -0.099876 0.031716 0.332445 0.023009 0.020785 -0.076395 0.996595
1540821110.01441 -0.107645 0.027343 0.348135 0.009776 0.024618 -0.084152 0.996101
1540821110.04762 -0.114157 0.020121 0.366938 -0.004828 0.028014 -0.091173 0.995429
1540821110.08081 -0.115994 0.013410 0.386949 -0.020603 0.030140 -0.096421 0.994671
1540821110.11404 -0.113422 0.006540 0.407818 -0.036932 0.029527 -0.099205 0.993943
1540821110.14712 -0.110580 -0.000341 0.429937 -0.051722 0.024742 -0.099189 0.993415
1540821110.18037 -0.103510 -0.005881 0.451123 -0.064674 0.018040 -0.095943 0.993120
1540821110.21347 -0.093247 -0.012325 0.470092 -0.076657 0.012329 -0.089790 0.992930
1540821110.24665 -0.080537 -0.016456 0.486556 -0.087895 0.007328 -0.082994 0.992639
1540821110.27983 -0.065876 -0.020048 0.500091 -0.098986 0.001635 -0.074191 0.992318
1540821110.31308 -0.049391 -0.021344 0.510366 -0.109470 -0.003940 -0.063801 0.991933
1540821110.37935 -0.013861 -0.019564 0.516889 -0.121030 -0.014009 -0.038263 0.991812
1540821110.41253 0.003036 -0.015831 0.513459 -0.119651 -0.017706 -0.022111 0.992412
1540821110.44575 0.019313 -0.010437 0.505722 -0.114075 -0.020760 -0.004927 0.993243
1540821110.47890 0.037428 -0.001979 0.493265 -0.106374 -0.022324 0.012794 0.993993
1540821110.51207 0.051202 0.004883 0.478828 -0.098092 -0.022363 0.029883 0.994477
1540821110.54524 0.062689 0.011919 0.461375 -0.088968 -0.018883 0.043771 0.994893
1540821110.57841 0.069151 0.017816 0.443565 -0.077455 -0.014236 0.054480 0.995404
1540821110.61158 0.074419 0.024380 0.424007 -0.064103 -0.009634 0.061882 0.995976
1540821110.64487 0.074175 0.030292 0.404092 -0.050183 -0.007637 0.066001 0.996528
1540821110.67794 0.072975 0.035663 0.386990 -0.036299 -0.007875 0.067033 0.997059
1540821110.71112 0.069118 0.041163 0.370538 -0.023367 -0.007886 0.064313 0.997625
1540821110.74433 0.063208 0.046972 0.355348 -0.011114 -0.005453 0.055582 0.998377
1540821110.77751 0.050428 0.049289 0.341561 -0.000389 -0.001103 0.046783 0.998904
1540821110.81070 0.039050 0.052559 0.329646 0.009569 0.004992 0.035723 0.999303
1540821110.84387 0.021755 0.055935 0.320474 0.017201 0.013577 0.025134 0.999444
1540821110.87704 0.005041 0.057708 0.313158 0.023388 0.023893 0.014087 0.999342
1540821110.91027 -0.013108 0.058419 0.308538 0.027128 0.034539 0.001690 0.999034
1540821110.97660 -0.049059 0.056488 0.309361 0.028603 0.048245 -0.023880 0.998140
1540821111.00978 -0.067791 0.053151 0.316015 0.025813 0.052312 -0.036142 0.997643
1540821111.04303 -0.084797 0.048018 0.325046 0.020816 0.057497 -0.048158 0.996966
1540821111.07613 -0.101520 0.042640 0.337453 0.013539 0.062168 -0.059777 0.996182
1540821111.10930 -0.114221 0.037130 0.351790 0.003433 0.064083 -0.070189 0.995467
1540821111.14253 -0.128635 0.029934 0.370921 -0.008535 0.063459 -0.078334 0.994869
1540821111.17566 -0.136826 0.023087 0.388545 -0.021547 0.062666 -0.084957 0.994179
1540821111.20891 -0.139563 0.015453 0.407838 -0.034478 0.062488 -0.090070 0.993375
1540821111.24201 -0.142512 0.009363 0.426035 -0.047788 0.061124 -0.092533 0.992682
1540821111.27519 -0.141685 0.002734 0.444713 -0.060507 0.059731 -0.093000 0.992029
1540821111.30841 -0.135479 -0.002961 0.461302 -0.071764 0.056243 -0.090769 0.991689
1540821111.34157 -0.125718 -0.008862 0.476380 -0.082409 0.050977 -0.085718 0.991596
1540821111.37475 -0.111627 -0.012233 0.489187 -0.093045 0.044875 -0.078827 0.991522
1540821111.40793 -0.095857 -0.015786 0.499288 -0.102092 0.037051 -0.070557 0.991578
1540821111.44106 -0.079784 -0.018967 0.506323 -0.109612 0.028097 -0.059862 0.991772
1540821111.50741 -0.041831 -0.016574 0.508676 -0.114578 0.012516 -0.035038 0.992717
1540821111.54068 -0.023627 -0.014476 0.504120 -0.113134 0.006790 -0.020928 0.993336
1540821111.57377 -0.005300 -0.011779 0.496302 -0.110527 0.002138 -0.006631 0.993849
1540821111.60694 0.010528 -0.007604 0.485724 -0.106671 -0.000442 0.007488 0.994266
1540821111.64024 0.024239 -0.003865 0.473376 -0.099993 -0.000957 0.020290 0.994781
1540821111.70645 0.043309 0.007613 0.445889 -0.078992 0.000776 0.039670 0.996085
1540821111.73962 0.049612 0.012878 0.430992 -0.068443 0.000203 0.045447 0.996619
1540821111.77280 0.053605 0.017649 0.416275 -0.058820 -0.001045 0.048137 0.997107
1540821111.80602 0.054097 0.021707 0.401940 -0.050615 -0.002753 0.047918 0.997564
1540821111.83916 0.052903 0.025463 0.389827 -0.042918 -0.004251 0.045436 0.998036
1540821111.87236 0.051467 0.028175 0.379344 -0.036556 -0.004241 0.043385 0.998380
1540821111.90550 0.049709 0.031039 0.370209 -0.031787 -0.002405 0.041137 0.998645
1540821111.93880 0.044339 0.032214 0.361356 -0.028383 0.000669 0.039347 0.998822
1540821111.97192 0.039506 0.033657 0.354981 -0.025971 0.004454 0.036550 0.998984
1540821112.00502 0.034305 0.033936 0.349564 -0.023974 0.007876 0.033295 0.999127
1540821112.03820 0.029213 0.034359 0.345962 -0.022227 0.010014 0.029279 0.999274
1540821112.07137 0.023406 0.033176 0.343337 -0.020712 0.010818 0.025982 0.999389
1540821112.10461 0.019513 0.031699 0.341662 -0.020905 0.011291 0.022913 0.999455
1540821112.13774 0.011959 0.031299 0.341584 -0.021914 0.010732 0.021092 0.999480
1540821112.17089 0.008772 0.029854 0.341320 -0.022941 0.010908 0.020921 0.999458
1540821112.20411 0.007902 0.029649 0.341300 -0.024373 0.011500 0.021898 0.999397
1540821112.23724 0.008237 0.029004 0.342122 -0.025956 0.012781 0.024105 0.999291
1540821112.27045 0.010066 0.029041 0.341819 -0.027189 0.014188 0.026415 0.999181
1540821112.30363 0.012204 0.029345 0.341389 -0.028369 0.015458 0.028545 0.999070
1540821112.33676 0.016750 0.029510 0.342309 -0.029801 0.016046 0.031238 0.998939
1540821112.36998 0.021574 0.030713 0.342626 -0.030127 0.014504 0.034619 0.998841
1540821112.40315 0.028748 0.032897 0.344616 -0.029700 0.010552 0.038794 0.998750
1540821112.43633 0.034378 0.036028 0.345309 -0.028560 0.004595 0.044004 0.998612
1540821112.46950 0.042360 0.040369 0.347021 -0.028632 -0.002039 0.050231 0.998325
1540821112.50268 0.048467 0.045539 0.347546 -0.029171 -0.006946 0.056844 0.997933
1540821112.53585 0.053985 0.051781 0.347413 -0.029185 -0.009330 0.063151 0.997534
1540821112.56902 0.058990 0.059202 0.346435 -0.028452 -0.009585 0.069443 0.997134
1540821112.60215 0.061282 0.068157 0.344691 -0.026285 -0.008750 0.075561 0.996756
1540821112.63533 0.061750 0.077820 0.342304 -0.023487 -0.006891 0.081690 0.996357
1540821112.66850 0.060395 0.088027 0.339278 -0.020456 -0.004321 0.088105 0.995892
1540821112.70171 0.056257 0.097798 0.335743 -0.017167 -0.001648 0.094097 0.995414
1540821112.73489 0.050801 0.106693 0.332196 -0.013010 0.000136 0.098456 0.995056
1540821112.76802 0.043693 0.114004 0.328791 -0.007373 0.000263 0.099660 0.994994
1540821112.80119 0.035502 0.119076 0.325814 -0.001097 0.000085 0.096626 0.995320
1540821112.83441 0.026224 0.121538 0.322945 0.003996 0.000918 0.089335 0.995993
1540821112.86754 0.015386 0.121460 0.319704 0.007205 0.004194 0.078661 0.996867
1540821112.90071 0.003213 0.119610 0.316974 0.008847 0.010326 0.065775 0.997742
1540821112.93388 -0.009922 0.115953 0.314817 0.009848 0.016752 0.052119 0.998452
1540821112.96705 -0.023530 0.110889 0.313873 0.010285 0.021504 0.039105 0.998951
1540821113.00022 -0.036754 0.106338 0.314096 0.009626 0.024090 0.026312 0.999317
1540821113.03339 -0.049930 0.098783 0.314985 0.008032 0.026577 0.013168 0.999528
1540821113.06656 -0.062268 0.089034 0.316671 0.005592 0.028689 -0.000432 0.999573
1540821113.09975 -0.073820 0.078646 0.319068 0.003429 0.029367 -0.013386 0.999473
